"A1" "A2" "A3" "B1" "B2" "B3"
"653635" 2070 2077 3135 1001 1125 1718
"100422834" 0 0 0 0 0 0
"645520" 0 0 0 1 0 0
"79501" 0 0 0 0 0 0
"729737" 4943 8977 14665 578 1048 170
"100507658" 21 22 32 0 0 4
"100132287" 282 229 280 10 20 8
"100288646" 0 0 1 0 0 0
"729759" 0 0 0 0 0 0
"100131754" 410 386 434 381 424 911
"81399" 0 0 0 0 0 0
"100287654" 0 4 15 1 3 0
"100133331" 864 1215 1532 330 378 335
"100288069" 161 397 268 76 178 188
"100287934" 12 57 28 10 47 37
"400728" 46 84 61 20 33 40
"79854" 107 69 61 50 34 72
"643837" 256 72 186 372 292 468
"100506327" 170 69 22 188 154 74
"284593" 0 0 10 0 4 8
"284600" 0 6 2 0 0 0
"100130417" 0 0 0 0 0 0
"148398" 8 17 19 8 2 4
"26155" 2482 1525 1913 3106 3305 3855
"339451" 824 512 653 777 765 961
"84069" 89 41 65 275 190 224
"84808" 10 14 9 69 73 49
"57801" 859 216 311 133 113 91
"9636" 1342 951 1157 3829 7220 2456
"375790" 748 725 819 18980 23562 22441
"401934" 11 0 5 4 5 0
"54991" 555 537 491 561 490 664
"406984" 0 0 0 0 0 0
"406983" 0 0 0 0 0 0
"554210" 0 0 0 0 0 0
"100506376" 4 0 0 0 0 0
"254173" 0 0 0 0 0 6
"8784" 18 8 4 293 261 39
"7293" 104 46 46 270 437 251
"51150" 8013 5686 5545 13417 13557 16681
"126792" 335 277 407 1944 1811 1945
"388581" 124 220 124 42 50 50
"118424" 1404 1544 1353 2563 3133 3174
"6339" 140 202 208 186 139 187
"116983" 5518 5954 6215 5040 5406 6384
"126789" 393 433 333 729 603 809
"54973" 3484 3078 2858 2311 2673 3352
"80772" 272 293 227 1664 1778 2192
"83756" 27 20 36 22 35 82
"1855" 1914 1474 1225 2592 2545 2903
"54587" 440 369 616 465 408 670
"100506404" 0 0 1 4 0 4
"54998" 2868 2029 1761 3240 4021 4263
"81669" 4193 4396 5512 3657 3464 4375
"148413" 686 463 611 482 332 537
"55052" 601 511 545 1823 1971 2343
"441869" 8 7 10 2 6 8
"643965" 0 0 0 0 0 0
"100288271" 0 0 0 12 4 14
"64856" 3 0 0 64 50 79
"219293" 5 15 9 12 23 5
"83858" 1184 989 1034 1684 1909 2223
"55210" 838 690 594 1635 1873 2303
"339453" 1 8 8 9 18 14
"29101" 3136 1577 2404 6001 5623 7338
"643988" 440 282 306 2455 2270 2925
"142678" 2468 2259 2307 1771 1830 1908
"8510" 8 26 15 4 0 0
"984" 3687 3105 3752 1344 1815 1576
"728661" 1766 1202 1901 2341 1513 3082
"8511" 33 26 1 0 10 0
"728642" 3370 3114 2304 1736 1733 1310
"100506482" 121 748 157 205 679 74
"9906" 170 179 138 144 121 56
"65220" 4953 4874 6921 5394 5902 6242
"2782" 18644 17467 14567 21778 25717 28341
"163688" 6 2 10 8 11 31
"339456" 22 0 2 76 83 110
"85452" 0 0 0 0 0 0
"2563" 0 0 0 0 0 0
"5590" 38 21 28 87 103 203
"100506504" 170 30 80 14 8 37
"199990" 799 508 546 436 607 759
"100128003" 1152 790 632 293 369 362
"6497" 6237 5197 2663 6715 7935 8837
"79906" 38 53 47 103 106 139
"100129534" 14 18 14 61 73 79
"11079" 2072 1171 1803 5410 6067 7270
"5192" 427 172 297 826 1057 1128
"9651" 120 139 137 14 3 12
"55229" 667 770 697 1446 1548 1710
"388585" 0 0 0 0 2 0
"115110" 29 38 97 362 467 644
